epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
22,2020-05-27,76,AM,Manaus,1302603,city,13881,635.93711,0,1182,0,0.0852,2182763,False,True
22,2020-05-26,75,AM,Manaus,1302603,city,13881,635.93711,0,1182,0,0.0852,2182763,False,True
22,2020-05-25,74,AM,Manaus,1302603,city,13881,635.93711,0,1182,0,0.0852,2182763,False,True
22,2020-05-24,73,AM,Manaus,1302603,city,13881,635.93711,257,1182,6,0.0852,2182763,True,False
21,2020-05-23,72,AM,Manaus,1302603,city,13624,624.16304,657,1176,49,0.0863,2182763,False,False
21,2020-05-22,71,AM,Manaus,1302603,city,12967,594.06358,650,1127,33,0.0869,2182763,False,False
21,2020-05-21,70,AM,Manaus,1302603,city,12317,564.28481,674,1094,37,0.0888,2182763,False,False
21,2020-05-20,69,AM,Manaus,1302603,city,11643,533.40651,592,1057,58,0.0908,2182763,False,False
21,2020-05-19,68,AM,Manaus,1302603,city,11051,506.28492,391,999,48,0.0904,2182763,False,False
21,2020-05-18,67,AM,Manaus,1302603,city,10660,488.37185,253,951,2,0.0892,2182763,False,False
21,2020-05-17,66,AM,Manaus,1302603,city,10407,476.78103,110,949,29,0.0912,2182763,False,False
20,2020-05-16,65,AM,Manaus,1302603,city,10297,471.74155,584,920,32,0.0893,2182763,False,False
20,2020-05-15,64,AM,Manaus,1302603,city,9713,444.98647,303,888,79,0.0914,2182763,False,False
20,2020-05-14,63,AM,Manaus,1302603,city,9410,431.10498,780,809,52,0.086,2182763,False,False
20,2020-05-13,62,AM,Manaus,1302603,city,8630,395.37045,753,757,31,0.0877,2182763,False,False
20,2020-05-12,61,AM,Manaus,1302603,city,7877,360.87289,613,726,35,0.0922,2182763,False,False
20,2020-05-11,60,AM,Manaus,1302603,city,7264,332.78922,66,691,11,0.0951,2182763,False,False
20,2020-05-10,59,AM,Manaus,1302603,city,7198,329.76553,455,680,20,0.0945,2182763,False,False
19,2020-05-09,58,AM,Manaus,1302603,city,6743,308.92039,709,660,56,0.0979,2182763,False,False
19,2020-05-08,57,AM,Manaus,1302603,city,6034,276.43862,137,604,41,0.1001,2182763,False,False
19,2020-05-07,56,AM,Manaus,1302603,city,5897,270.16218,423,563,31,0.0955,2182763,False,False
19,2020-05-06,55,AM,Manaus,1302603,city,5474,250.78307,670,532,73,0.0972,2182763,False,False
19,2020-05-05,54,AM,Manaus,1302603,city,4804,220.08803,460,459,41,0.0955,2182763,False,False
19,2020-05-04,53,AM,Manaus,1302603,city,4344,199.01382,272,418,22,0.0962,2182763,False,False
19,2020-05-03,52,AM,Manaus,1302603,city,4072,186.55255,414,396,28,0.0972,2182763,False,False
18,2020-05-02,51,AM,Manaus,1302603,city,3658,167.58576,167,368,11,0.1006,2182763,False,False
18,2020-05-01,50,AM,Manaus,1302603,city,3491,159.93491,218,357,45,0.1023,2182763,False,False
18,2020-04-30,49,AM,Manaus,1302603,city,3273,149.94757,182,312,24,0.0953,2182763,False,False
18,2020-04-29,48,AM,Manaus,1302603,city,3091,141.60951,192,288,14,0.0932,2182763,False,False
18,2020-04-28,47,AM,Manaus,1302603,city,2899,132.81332,161,274,18,0.0945,2182763,False,False
18,2020-04-27,46,AM,Manaus,1302603,city,2738,125.43735,16,256,10,0.0935,2182763,False,False
18,2020-04-26,45,AM,Manaus,1302603,city,2722,124.70433,44,246,13,0.0904,2182763,False,False
17,2020-04-25,44,AM,Manaus,1302603,city,2678,122.68854,197,233,26,0.087,2182763,False,False
17,2020-04-24,43,AM,Manaus,1302603,city,2481,113.66328,195,207,14,0.0834,2182763,False,False
17,2020-04-23,42,AM,Manaus,1302603,city,2286,104.72965,328,193,21,0.0844,2182763,False,False
17,2020-04-22,41,AM,Manaus,1302603,city,1958,89.70282,149,172,9,0.0878,2182763,False,False
17,2020-04-21,40,AM,Manaus,1302603,city,1809,82.87661,37,163,7,0.0901,2182763,False,False
17,2020-04-20,39,AM,Manaus,1302603,city,1772,81.18151,108,156,1,0.088,2182763,False,False
17,2020-04-19,38,AM,Manaus,1302603,city,1664,76.23365,71,155,21,0.0931,2182763,False,False
16,2020-04-18,37,AM,Manaus,1302603,city,1593,72.9809,62,134,7,0.0841,2182763,False,False
16,2020-04-17,36,AM,Manaus,1302603,city,1531,70.14046,72,127,20,0.083,2182763,False,False
16,2020-04-16,35,AM,Manaus,1302603,city,1459,66.84189,109,107,15,0.0733,2182763,False,False
16,2020-04-15,34,AM,Manaus,1302603,city,1350,61.84822,55,92,11,0.0681,2182763,False,False
16,2020-04-14,33,AM,Manaus,1302603,city,1295,59.32847,189,81,21,0.0625,2182763,False,False
16,2020-04-13,32,AM,Manaus,1302603,city,1106,50.66972,53,60,9,0.0542,2182763,False,False
16,2020-04-12,31,AM,Manaus,1302603,city,1053,48.24161,121,51,6,0.0484,2182763,False,False
15,2020-04-11,30,AM,Manaus,1302603,city,932,42.69818,69,45,3,0.0483,2182763,False,False
15,2020-04-10,29,AM,Manaus,1302603,city,863,39.53705,63,42,9,0.0487,2182763,False,False
15,2020-04-09,28,AM,Manaus,1302603,city,800,36.6508,88,33,8,0.0413,2182763,False,False
15,2020-04-08,27,AM,Manaus,1302603,city,712,32.61921,152,25,6,0.0351,2182763,False,False
15,2020-04-07,26,AM,Manaus,1302603,city,560,25.65556,87,19,4,0.0339,2182763,False,False
15,2020-04-06,25,AM,Manaus,1302603,city,473,21.66978,94,15,4,0.0317,2182763,False,False
15,2020-04-05,24,AM,Manaus,1302603,city,379,17.36331,96,11,2,0.029,2182763,False,False
14,2020-04-04,23,AM,Manaus,1302603,city,283,12.96522,51,9,4,0.0318,2182763,False,False
14,2020-04-03,22,AM,Manaus,1302603,city,232,10.62873,27,5,3,0.0216,2182763,False,False
14,2020-04-02,21,AM,Manaus,1302603,city,205,9.39177,26,2,0,0.0098,2182763,False,False
14,2020-04-01,20,AM,Manaus,1302603,city,179,8.20062,20,2,0,0.0112,2182763,False,False
14,2020-03-31,19,AM,Manaus,1302603,city,159,7.28435,19,2,1,0.0126,2182763,False,False
14,2020-03-30,18,AM,Manaus,1302603,city,140,6.41389,9,1,1,0.0071,2182763,False,False
14,2020-03-29,17,AM,Manaus,1302603,city,131,6.00157,26,0,0,0.0,2182763,False,False
13,2020-03-28,16,AM,Manaus,1302603,city,105,4.81042,30,0,0,0.0,2182763,False,False
13,2020-03-27,15,AM,Manaus,1302603,city,75,3.43601,12,0,0,0.0,2182763,False,False
13,2020-03-26,14,AM,Manaus,1302603,city,63,2.88625,11,0,0,0.0,2182763,False,False
13,2020-03-25,13,AM,Manaus,1302603,city,52,2.3823,7,0,0,0.0,2182763,False,False
13,2020-03-24,12,AM,Manaus,1302603,city,45,2.06161,14,0,0,0.0,2182763,False,False
13,2020-03-23,11,AM,Manaus,1302603,city,31,1.42022,6,0,0,0.0,2182763,False,False
13,2020-03-22,10,AM,Manaus,1302603,city,25,1.14534,14,0,0,0.0,2182763,False,False
12,2020-03-21,9,AM,Manaus,1302603,city,11,0.50395,4,0,0,0.0,2182763,False,False
12,2020-03-20,8,AM,Manaus,1302603,city,7,0.32069,4,0,0,0.0,2182763,False,False
12,2020-03-19,7,AM,Manaus,1302603,city,3,0.13744,1,0,0,0.0,2182763,False,False
12,2020-03-18,6,AM,Manaus,1302603,city,2,0.09163,0,0,0,0.0,2182763,False,False
12,2020-03-17,5,AM,Manaus,1302603,city,2,0.09163,0,0,0,0.0,2182763,False,True
12,2020-03-16,4,AM,Manaus,1302603,city,2,0.09163,0,0,0,0.0,2182763,False,True
12,2020-03-15,3,AM,Manaus,1302603,city,2,0.09163,0,0,0,0.0,2182763,False,True
11,2020-03-14,2,AM,Manaus,1302603,city,2,0.09163,0,0,0,0.0,2182763,False,True
11,2020-03-13,1,AM,Manaus,1302603,city,2,0.09163,2,0,0,0.0,2182763,False,False
